Open-time              Open          High           Low         Close        Volume Close-time      QuoteVolume       #Trades  #BasedVolume #QuotedVolume 
1617460740000 2104.46000000 2105.79000000 2104.22000000 2104.65000000  208.47129000 1617460799999 438866.02338540           599   72.42733000 152454.78212350             0 
1617460800000 2104.66000000 2104.68000000 2101.02000000 2103.26000000  765.92602000 1617460859999 1610551.66786370           753  206.48334000 434303.53510890             0 
1617460860000 2103.27000000 2104.56000000 2100.50000000 2101.12000000  657.72157000 1617460919999 1382828.38912200           902  158.69800000 333608.55214870             0 
1617460920000 2101.00000000 2103.08000000 2100.50000000 2102.30000000  413.57652000 1617460979999 869211.03420460           638  226.99592000 477091.40393350             0 
1617460980000 2102.63000000 2103.13000000 2100.84000000 2101.63000000  181.35830000 1617461039999 381157.05265550           544   96.75556000 203357.92000070             0 
1617461040000 2101.61000000 2101.92000000 2100.00000000 2100.26000000  316.15161000 1617461099999 664080.53198170           739   76.04839000 159777.36907530             0 
1617461100000 2100.26000000 2102.03000000 2100.00000000 2100.01000000  486.86534000 1617461159999 1022725.03250500           643  223.54612000 469634.20381240             0 
1617461160000 2100.00000000 2101.90000000 2100.00000000 2101.08000000  224.83581000 1617461219999 472337.12805520           515  125.46145000 263590.67572450             0 
1617461220000 2101.08000000 2101.60000000 2100.21000000 2101.23000000  345.34314000 1617461279999 725561.61023060           666  218.27047000 458597.65225310             0 
1617461280000 2101.24000000 2102.21000000 2100.00000000 2100.05000000 3681.97869000 1617461339999 7732517.91584070           877  317.22114000 666380.73480060             0 
1617461340000 2100.04000000 2102.00000000 2100.00000000 2100.32000000 1146.16400000 1617461399999 2407764.16435110           967  349.29952000 733813.35340210             0 
1617461400000 2100.31000000 2103.02000000 2100.30000000 2103.01000000  467.75496000 1617461459999 983197.97923790           703  248.72084000 522757.92664910             0 
1617461460000 2103.02000000 2103.40000000 2101.40000000 2101.51000000  510.60235000 1617461519999 1073632.28999010           600  248.82968000 523246.83686320             0 
1617461520000 2101.54000000 2101.55000000 2100.21000000 2100.71000000  211.70420000 1617461579999 444798.57881770           410   98.76566000 207492.78186550             0 
1617461580000 2100.71000000 2100.84000000 2098.00000000 2100.75000000  922.73538000 1617461639999 1937447.77396320          1204  199.78243000 419438.34471020             0 
1617461640000 2100.76000000 2100.98000000 2099.14000000 2099.99000000  271.30374000 1617461699999 569684.36184690           512  171.05728000 359176.20421630             0 
1617461700000 2099.99000000 2101.59000000 2099.99000000 2100.00000000  245.94294000 1617461759999 516638.52270860           605  130.83431000 274835.46655100             0 
1617461760000 2100.00000000 2100.00000000 2096.77000000 2097.90000000  601.09081000 1617461819999 1261007.93565630           757  158.05966000 331587.78577580             0 
1617461820000 2098.00000000 2099.05000000 2096.00000000 2096.13000000  702.47250000 1617461879999 1472989.23580040           863  298.45392000 625896.61600890             0 
1617461880000 2096.13000000 2096.55000000 2092.02000000 2092.36000000  572.53385000 1617461939999 1199087.21334180          1151  194.90462000 408246.98883150             0 
1617461940000 2092.45000000 2094.54000000 2090.77000000 2091.48000000  974.28755000 1617461999999 2038638.50216990          1035  400.56795000 838274.76339540             0 
1617462000000 2091.59000000 2092.04000000 2086.00000000 2086.35000000  878.12510000 1617462059999 1834050.48067240          1527  285.23843000 595624.01811130             0 
1617462060000 2086.31000000 2088.50000000 2083.07000000 2087.50000000 1213.06645000 1617462119999 2529362.76470240          1510  574.81668000 1198676.68569510             0 
1617462120000 2087.04000000 2092.64000000 2085.90000000 2089.50000000  761.60605000 1617462179999 1590848.15025830          1144  304.53616000 636137.31956550             0 
1617462180000 2089.25000000 2096.01000000 2089.18000000 2092.49000000  818.13794000 1617462239999 1713040.97442550           939  405.78519000 849736.86532470             0 
1617462240000 2092.53000000 2097.06000000 2092.42000000 2096.90000000  574.04559000 1617462299999 1202797.48477020           559  149.37040000 312997.67018460             0 
1617462300000 2096.90000000 2096.91000000 2093.77000000 2095.73000000  365.21159000 1617462359999 765148.96820340           642  189.96100000 397990.76798550             0 
1617462360000 2095.76000000 2097.80000000 2095.33000000 2097.44000000  401.07897000 1617462419999 840900.82190050           650  245.90188000 515542.50175550             0 
1617462420000 2097.45000000 2098.08000000 2095.00000000 2096.34000000  281.45054000 1617462479999 589983.94372990           549  141.10206000 295769.63206670             0 
1617462480000 2096.26000000 2097.02000000 2094.33000000 2095.23000000  349.78838000 1617462539999 732978.47533760           467  128.20221000 268648.08241790             0 
1617462540000 2095.32000000 2095.43000000 2090.00000000 2090.50000000  447.97001000 1617462599999 937564.84642140           586  265.32075000 555389.25879640             0 
1617462600000 2090.51000000 2093.62000000 2088.14000000 2088.17000000  413.83133000 1617462659999 865357.26985790           600  211.42348000 442066.42355740             0 
1617462660000 2088.53000000 2093.00000000 2086.77000000 2091.00000000  640.18830000 1617462719999 1338091.74177450           859  258.22762000 539749.12392430             0 
1617462720000 2090.55000000 2090.95000000 2086.05000000 2087.82000000  589.88916000 1617462779999 1231927.20002410           856  256.61267000 535872.14106330             0 
1617462780000 2088.05000000 2090.34000000 2085.37000000 2086.59000000  664.08920000 1617462839999 1386703.26065450           814  365.85916000 764021.45170790             0 
1617462840000 2086.38000000 2089.10000000 2084.21000000 2086.62000000 1069.14345000 1617462899999 2230716.32666490           871  548.58841000 1144671.18587750             0 
1617462900000 2086.74000000 2090.33000000 2086.03000000 2090.31000000  824.75705000 1617462959999 1722417.87031790           843  592.36223000 1237131.40211510             0 
1617462960000 2090.33000000 2094.48000000 2090.32000000 2090.94000000  902.03424000 1617463019999 1887566.34258290           922  549.94897000 1150874.11325960             0 
1617463020000 2091.14000000 2093.22000000 2089.76000000 2090.99000000  693.43507000 1617463079999 1450110.98925960           741  512.47489000 1071690.52173590             0 
1617463080000 2090.98000000 2096.52000000 2090.98000000 2093.84000000  999.22431000 1617463139999 2092362.70665820          1562  567.39854000 1188110.50079260             0 
1617463140000 2093.74000000 2096.54000000 2093.73000000 2094.91000000  728.61339000 1617463199999 1526732.58824240           930  487.74673000 1022067.39976980             0 
1617463200000 2094.90000000 2096.24000000 2092.68000000 2093.12000000  504.94215000 1617463259999 1057899.49144670           711  282.37462000 591653.19058020             0 
1617463260000 2093.12000000 2095.43000000 2091.50000000 2093.06000000  510.87972000 1617463319999 1069430.38399830           799  278.33647000 582695.63189760             0 
1617463320000 2093.09000000 2093.89000000 2088.85000000 2089.71000000 1306.21045000 1617463379999 2731569.11872480          1378  682.96350000 1428367.13608270             0 
1617463380000 2089.27000000 2092.59000000 2088.43000000 2091.39000000  899.73767000 1617463439999 1881379.44179690           899  457.15275000 956081.95308360             0 
1617463440000 2091.20000000 2093.47000000 2087.04000000 2090.91000000 1632.12266000 1617463499999 3412018.30502080          1346  673.83501000 1409400.04897330             0 
1617463500000 2090.90000000 2091.71000000 2089.22000000 2090.52000000  406.55004000 1617463559999 849830.78811770           571  142.52739000 297917.42265560             0 
1617463560000 2090.04000000 2090.23000000 2088.53000000 2089.10000000  825.02494000 1617463619999 1724221.62408300           502  580.52640000 1213252.64165440             0 
1617463620000 2088.91000000 2089.26000000 2088.00000000 2088.02000000  169.77450000 1617463679999 354576.67164830           436   69.01836000 144140.38377280             0 
1617463680000 2088.05000000 2089.72000000 2087.74000000 2088.12000000  260.11317000 1617463739999 543262.03976070           492  131.29569000 274206.65788530             0 
1617463740000 2088.12000000 2088.63000000 2084.43000000 2084.44000000  596.49474000 1617463799999 1244492.38283380           826  271.02434000 565530.44826920             0 
1617463800000 2084.44000000 2085.73000000 2076.66000000 2077.65000000 1808.55401000 1617463859999 3763170.69859300          2673  438.51224000 912588.27345040             0 
1617463860000 2077.65000000 2082.51000000 2077.37000000 2080.65000000 1149.73004000 1617463919999 2391838.04552880          1403  479.83926000 998131.74497690             0 
1617463920000 2080.48000000 2085.46000000 2079.41000000 2085.09000000  871.35203000 1617463979999 1814872.19777460           889  559.78330000 1166055.09283170             0 
1617463980000 2085.09000000 2089.37000000 2084.34000000 2084.34000000  809.35682000 1617464039999 1689018.06532430           972  427.72186000 892731.33166690             0 
1617464040000 2084.78000000 2088.00000000 2084.78000000 2087.21000000  650.45866000 1617464099999 1357322.78564070           694  437.22593000 912358.87147360             0 
1617464100000 2087.20000000 2091.00000000 2087.20000000 2088.64000000  622.10179000 1617464159999 1299875.85582800           755  344.85245000 720568.03705240             0 
1617464160000 2088.64000000 2090.05000000 2088.53000000 2089.47000000  335.46541000 1617464219999 700899.99336980           372  165.23689000 345250.47199090             0 
1617464220000 2089.48000000 2089.54000000 2087.62000000 2088.79000000  413.38092000 1617464279999 863375.18489640           450  239.16423000 499494.53175150             0 
1617464280000 2088.79000000 2090.00000000 2085.78000000 2087.09000000 1150.14118000 1617464339999 2401104.56069030           947  697.76256000 1456437.97360890             0 
1617464340000 2087.09000000 2088.16000000 2086.13000000 2087.38000000  755.72639000 1617464399999 1577524.64484740           642  415.12935000 866501.21535180             0 
1617464400000 2086.81000000 2092.14000000 2086.03000000 2088.28000000 1254.90266000 1617464459999 2621466.43245080          1092  891.66765000 1862851.06487990             0 
1617464460000 2088.28000000 2090.00000000 2088.28000000 2089.75000000  377.22491000 1617464519999 788018.49544710           426  249.28919000 520759.31477240             0 
1617464520000 2089.68000000 2090.17000000 2089.58000000 2090.16000000  141.78724000 1617464579999 296327.08312360           282   73.27289000 153137.74340810             0 
1617464580000 2090.16000000 2090.91000000 2089.65000000 2090.16000000  337.30559000 1617464639999 705057.80328720           470  106.49266000 222597.04775600             0 
1617464640000 2090.15000000 2093.00000000 2089.86000000 2091.73000000  362.12034000 1617464699999 757369.19673640           518  194.92157000 407714.07116930             0 
1617464700000 2091.62000000 2095.49000000 2089.60000000 2095.00000000  896.34563000 1617464759999 1876389.74395950           875  443.20814000 927693.76023070             0 
1617464760000 2095.00000000 2095.48000000 2092.63000000 2092.64000000  441.75698000 1617464819999 925086.59561560           410  164.80373000 345134.75040900             0 
1617464820000 2092.63000000 2094.94000000 2092.25000000 2093.80000000  804.77130000 1617464879999 1685169.00809060           581  536.17672000 1122812.19208380             0 
1617464880000 2094.16000000 2095.11000000 2091.38000000 2091.44000000  470.82175000 1617464939999 985497.99813070           471  234.27268000 490466.64745360             0 
1617464940000 2091.44000000 2092.95000000 2091.12000000 2091.39000000  212.75716000 1617464999999 445093.42771720           397  132.80335000 277832.77973210             0 
1617465000000 2091.40000000 2091.53000000 2089.02000000 2090.00000000  645.98473000 1617465059999 1350222.59113400           546  110.80226000 231612.14582500             0 
1617465060000 2090.00000000 2091.30000000 2090.00000000 2091.03000000  223.77607000 1617465119999 467870.23357820           437   76.92252000 160834.04639020             0 
1617465120000 2091.03000000 2091.04000000 2081.96000000 2087.39000000 1146.06816000 1617465179999 2391577.19214920          1272  453.73711000 946295.30937160             0 
1617465180000 2087.39000000 2088.00000000 2080.37000000 2082.66000000  792.40980000 1617465239999 1650885.47614420           818  231.88071000 483116.73642550             0 
1617465240000 2082.55000000 2082.56000000 2079.23000000 2081.54000000 1528.10940000 1617465299999 3179216.82398920           914  944.16651000 1964094.21006250             0 
1617465300000 2081.52000000 2086.25000000 2080.68000000 2080.68000000  527.68148000 1617465359999 1099348.99434600           700  195.76844000 407843.59632170             0 
1617465360000 2080.95000000 2081.99000000 2079.12000000 2080.60000000  834.68007000 1617465419999 1736669.43365100           698  312.35336000 649886.10042690             0 
1617465420000 2080.61000000 2081.01000000 2078.70000000 2079.08000000  370.02560000 1617465479999 769650.20932570           514  178.24833000 370758.77046160             0 
1617465480000 2079.03000000 2079.18000000 2069.70000000 2072.23000000 3022.10170000 1617465539999 6269618.19192160          2813  459.75549000 953917.91847090             0 
1617465540000 2072.22000000 2076.77000000 2069.18000000 2070.98000000  745.11340000 1617465599999 1544055.18199400          1120  377.52234000 782386.39654520             0 
1617465600000 2071.00000000 2079.80000000 2070.61000000 2073.36000000 1286.59624000 1617465659999 2668958.67617970          1561  637.36466000 1322016.10113220             0 
1617465660000 2073.60000000 2073.63000000 2060.00000000 2063.63000000 2213.19945000 1617465719999 4570974.94864490          4393  597.89325000 1234895.42491050             0 
1617465720000 2063.89000000 2066.46000000 2053.00000000 2053.00000000 2338.63387000 1617465779999 4815432.71600810          4049  749.40910000 1543732.83823410             0 
1617465780000 2053.00000000 2054.62000000 2049.25000000 2054.45000000 3145.59396000 1617465839999 6452234.35104560          4377 1368.91748000 2808674.85981370             0 
1617465840000 2054.45000000 2065.00000000 2052.06000000 2064.52000000 1378.13939000 1617465899999 2838010.97443740          2160  846.82411000 1744176.18696400             0 
1617465900000 2064.33000000 2075.70000000 2060.00000000 2075.39000000 1470.42673000 1617465959999 3039954.12898080          2318  700.90606000 1449220.38060030             0 
1617465960000 2075.39000000 2081.14000000 2074.72000000 2080.66000000 1779.92996000 1617466019999 3699575.81642720          2149  880.69840000 1830566.90203710             0 
1617466020000 2080.66000000 2080.67000000 2073.99000000 2076.22000000  795.51104000 1617466079999 1651699.90200960          1257  366.91403000 761718.05932680             0 
1617466080000 2076.07000000 2080.79000000 2075.92000000 2078.80000000  729.35188000 1617466139999 1516092.99009150           925  396.08426000 823227.31211650             0 
1617466140000 2078.92000000 2078.92000000 2075.39000000 2077.30000000  574.67994000 1617466199999 1193654.80130500           810  321.84887000 668519.52789720             0 
1617466200000 2077.30000000 2080.91000000 2073.01000000 2079.52000000  495.99548000 1617466259999 1030101.20167010           826  266.58533000 553658.34051990             0 
1617466260000 2079.56000000 2080.90000000 2076.65000000 2077.00000000  315.61461000 1617466319999 655959.32072890           769  175.84392000 365446.40896150             0 
1617466320000 2077.00000000 2079.45000000 2075.60000000 2076.96000000  337.00510000 1617466379999 700084.19672860           580  144.15285000 299403.76881550             0 
1617466380000 2077.49000000 2084.22000000 2077.01000000 2083.21000000  707.34662000 1617466439999 1472471.18632640          1028  333.53781000 694461.06428620             0 
1617466440000 2083.09000000 2085.90000000 2081.02000000 2082.00000000  576.50474000 1617466499999 1201360.39241230           879  251.18566000 523457.71575040             0 
1617466500000 2081.78000000 2087.55000000 2081.29000000 2087.09000000  482.87180000 1617466559999 1006837.68731170           786  273.82344000 570866.47430170             0 
1617466560000 2087.05000000 2090.35000000 2085.93000000 2090.29000000  746.28887000 1617466619999 1558632.00003280          1028  482.04674000 1006788.76007740             0 
1617466620000 2090.34000000 2092.50000000 2087.69000000 2092.43000000  451.08727000 1617466679999 942666.60868580           917  226.91542000 474166.23296600             0 
1617466680000 2092.50000000 2094.90000000 2092.30000000 2092.34000000  996.45329000 1617466739999 2085766.87746770          1344  568.37419000 1189751.18292250             0 
1617466740000 2092.30000000 2092.54000000 2089.46000000 2089.70000000  554.28050000 1617466799999 1159105.69360810           739  206.27653000 431313.18487250             0 
1617466800000 2089.71000000 2091.17000000 2088.23000000 2090.53000000  199.69535000 1617466859999 417344.86395020           504   70.33820000 146998.83945700             0 
1617466860000 2090.30000000 2091.35000000 2089.11000000 2090.61000000  371.61209000 1617466919999 776824.70496710           538  155.91178000 325938.65263510             0 
1617466920000 2090.61000000 2090.61000000 2086.34000000 2086.34000000  790.26964000 1617466979999 1650602.04892240           874  346.36657000 723379.09715820             0 
1617466980000 2086.34000000 2087.35000000 2084.10000000 2085.99000000  545.02953000 1617467039999 1136932.61376810           576  389.03157000 811591.57704480             0 
1617467040000 2085.99000000 2086.34000000 2082.59000000 2083.93000000  361.61619000 1617467099999 753696.78700970           556  137.45096000 286476.30713140             0 
1617467100000 2083.96000000 2088.58000000 2083.53000000 2087.51000000  390.12684000 1617467159999 813979.43059720           632  213.96675000 446429.03644930             0 
1617467160000 2087.04000000 2087.20000000 2081.43000000 2084.14000000  429.74155000 1617467219999 895164.44060920           659  281.81111000 587024.77887350             0 
1617467220000 2083.74000000 2085.15000000 2082.23000000 2083.39000000  416.63899000 1617467279999 868075.70151220           553  205.08182000 427337.41626820             0 
1617467280000 2083.34000000 2086.73000000 2082.69000000 2085.92000000  314.09362000 1617467339999 654666.62923770           420  210.64418000 439039.27714120             0 
1617467340000 2085.93000000 2089.19000000 2085.00000000 2088.08000000  332.49404000 1617467399999 694008.16847090           549  155.26481000 324078.87177430             0 
1617467400000 2088.08000000 2091.49000000 2088.08000000 2089.84000000  449.40737000 1617467459999 939475.12709490           669  224.11298000 468475.67452470             0 
1617467460000 2089.84000000 2090.33000000 2085.00000000 2086.03000000  436.74692000 1617467519999 911503.45735600           660  268.25650000 559890.31817920             0 
1617467520000 2086.26000000 2089.12000000 2085.86000000 2089.00000000  195.38205000 1617467579999 407806.67429130           395  100.40364000 209531.97896200             0 
1617467580000 2088.99000000 2089.30000000 2087.25000000 2087.56000000  193.13015000 1617467639999 403332.35515620           373  131.83835000 275306.42167320             0 
1617467640000 2087.41000000 2087.41000000 2085.86000000 2085.86000000  213.40078000 1617467699999 445240.96904930           354   71.29413000 148735.30667110             0 
1617467700000 2085.87000000 2087.96000000 2085.71000000 2087.58000000  172.70870000 1617467759999 360366.55944210           433  114.62015000 239168.24140610             0 
1617467760000 2087.68000000 2088.79000000 2086.23000000 2086.23000000  413.18811000 1617467819999 862603.49265660           453  173.34222000 361936.91280900             0 
1617467820000 2086.23000000 2086.90000000 2085.84000000 2086.32000000   96.33334000 1617467879999 200973.94913960           262   62.14273000 129644.53384670             0 
1617467880000 2086.50000000 2086.91000000 2085.50000000 2086.78000000  271.26525000 1617467939999 565936.81638730           413  124.98142000 260735.70517410             0 
1617467940000 2086.78000000 2086.78000000 2085.78000000 2086.04000000  168.83105000 1617467999999 352222.18817930           357   85.65376000 178695.14051740             0 
1617468000000 2086.04000000 2086.05000000 2084.44000000 2084.99000000  302.00393000 1617468059999 629733.97301870           421  187.64519000 391258.32136290             0 
1617468060000 2085.00000000 2085.75000000 2083.57000000 2084.38000000  548.08239000 1617468119999 1142657.95631520           568  216.98846000 452371.67119080             0 
1617468120000 2084.39000000 2085.74000000 2084.22000000 2085.25000000  354.52212000 1617468179999 739176.32663840           418  157.44510000 328269.59152510             0 
1617468180000 2085.25000000 2085.40000000 2084.21000000 2084.48000000  202.03947000 1617468239999 421242.08062460           312   97.11007000 202456.76540720             0 
1617468240000 2084.34000000 2084.47000000 2081.14000000 2081.67000000  358.45948000 1617468299999 746553.48361210           514  135.10515000 281407.93454430             0 
1617468300000 2081.49000000 2084.29000000 2081.22000000 2083.82000000  506.08404000 1617468359999 1054141.02560340           576  346.49811000 721760.12140110             0 
1617468360000 2083.85000000 2087.94000000 2083.39000000 2087.31000000  695.13106000 1617468419999 1450470.83011510           794  456.93682000 953424.42181140             0 
1617468420000 2087.30000000 2087.70000000 2082.62000000 2082.63000000  537.37289000 1617468479999 1119875.10705800           442  190.73068000 397562.81732440             0 
1617468480000 2082.63000000 2082.79000000 2080.19000000 2080.82000000  295.35075000 1617468539999 614725.62753920           477  150.29173000 312819.44378550             0 
1617468540000 2080.82000000 2082.31000000 2080.53000000 2081.97000000  466.13388000 1617468599999 970124.85232600           464  239.91813000 499279.77303030             0 
1617468600000 2081.97000000 2082.53000000 2080.91000000 2082.15000000  235.19825000 1617468659999 489591.75652490           380  166.91056000 347421.04131140             0 
1617468660000 2082.15000000 2082.49000000 2081.00000000 2081.77000000  193.86929000 1617468719999 403556.21153880           292  101.96406000 212251.36689340             0 
1617468720000 2081.76000000 2081.77000000 2078.34000000 2078.89000000  480.70006000 1617468779999 999915.72388900           681  121.00328000 251659.43476370             0 
1617468780000 2078.86000000 2079.35000000 2076.16000000 2076.48000000  845.75765000 1617468839999 1757287.55125380           853  447.27358000 929362.44090120             0 
1617468840000 2076.44000000 2078.00000000 2074.07000000 2076.58000000  846.80775000 1617468899999 1758092.00156670           778  409.16123000 849443.53825120             0 
1617468900000 2076.58000000 2076.58000000 2074.30000000 2074.31000000  504.03618000 1617468959999 1046064.04424450           536  213.13009000 442337.23974090             0 
1617468960000 2074.30000000 2075.26000000 2071.70000000 2071.91000000  923.08081000 1617469019999 1914321.54497830           819  356.68275000 739796.49529050             0 
1617469020000 2071.95000000 2073.04000000 2071.25000000 2071.26000000  513.85582000 1617469079999 1064732.12205790           597  261.61927000 542067.38024520             0 
1617469080000 2071.25000000 2071.25000000 2067.03000000 2067.17000000 1057.47170000 1617469139999 2187984.81405110          1142  438.99526000 908469.78504210             0 
1617469140000 2067.18000000 2070.69000000 2063.92000000 2070.60000000  933.06522000 1617469199999 1928663.79267100          1273  533.73096000 1103605.52899540             0 
1617469200000 2070.41000000 2071.00000000 2063.32000000 2063.62000000  777.32972000 1617469259999 1607455.55629680          1069  304.49711000 629631.28775280             0 
1617469260000 2063.61000000 2063.61000000 2061.53000000 2062.48000000   59.10792000 1617469319999 121914.08060520           192    9.89820000 20414.23932370             0 
1617469320000 2069.80000000 2072.08000000 2069.37000000 2071.96000000  270.56334000 1617469379999 560315.90967200           454  127.84940000 264783.26931950             0 
